File: checklist.md | Line 15: - [x] FeedScreen (메인 추천 피드)
File: context-notes.md | Line 124: - 상세 조회 후 되돌아갈 때 검색 조건이 초기화(풀림)되는 불편을 방지하기 위해 웹은 `localStorage` 캐싱 및 `popstate` 브라우저 히스토리 제어 가드를 적용하고, 모바일 앱은 필터 상태를 최상위 `App.tsx` 글로벌 상태로 이관하여 컴포넌트 마운트 해제 시에도 데이터 유실을 완전 방지하기로 하였습니다.
File: context-notes.md | Line 125: - 프로그램의 공식 한글 명칭을 "부동산경공매 검색시스템"으로 일괄 변경하고 상단 제목 영역을 클릭할 시 전체 필터 초기화와 동시에 홈 피드로 복귀하는 주도적 인터랙션 경로를 설정하였습니다.
File: context-notes.md | Line 126: - 크롤링 프로세스 완료 후 성공 및 실패 세부 로그 통계를 "hl1oex@gmail.com" 이메일로 자동 전송하기 위해 `scrapers/run_daily_scrapers.py` 통합 러너를 신설하고 `psycopg2`와 `smtplib` 연동 파이프라인을 구축하기로 하였습니다.
File: context-notes.md | Line 129: - PC 웹 대시보드에서 12단 프리미엄 탭을 포팅하는 과정에서 런타임 Null 에러를 발생시키던 누락된 DOM ID(detail-ai-*, detail-spec-official-* 등)들을 마크업 단에 모두 복구하여 상세 정보 서랍이 원활히 동작하도록 조치했습니다.
File: context-notes.md | Line 133: ### 세분화 검색 필터, 네이버 지도 교체, 등급 업그레이드 및 광고 관리 고도화 결정 (2026-06-11)
File: context-notes.md | Line 139: - **유사 매물 거리 표기**: 추천되는 주변 3개 매물과의 거리를 미터(m) 단위로 동적 연산하여 "1000m 이내" 형태로 가독성 있게 나타내도록 수정하기로 결정하였습니다.
File: context-notes.md | Line 140: - **상세 뷰 5대 파트 타이포그래피 폴리싱**: 기본 명세, 소유자/채무자 정보, 기일 이력, 유사 추천 매물, 내부 평면도 파트의 글자 크기, 자간, 굵기 및 색상 조정을 거쳐 펄 화이트 테마에 어울리는 극상의 심미성을 완성하기로 결정하였습니다.
File: context-notes.md | Line 158: - **단일 토글형 정렬 방식으로의 개편**: 기존 다중 정렬 체인(`activeSortChain`)은 `score`가 최우선으로 상시 누적 작동하여 금액순 정렬 등을 눌러도 정렬 기준이 정상 변경되지 않는 오작동 문제가 존재하였습니다. 이를 해소하기 위해 복잡한 체인 정렬을 철폐하고 사용자가 클릭한 키 기준 단일 정렬(동일 키 연속 클릭 시 오름차순/내림차순 토글) 방식으로 전환하여 금액순 정렬 등의 즉각적인 반응성을 실현하기로 결정하였습니다.
File: context-notes.md | Line 162: - **리치고 상세 벤치마킹**: 리치고(m.richgo.ai)의 아파트 경매 상세 정보 구조를 벤치마킹하여 우리 플랫폼에도 아파트 단지 정보(총 세대수, 준공년도, 건설사), 배정 초등학교 학군 정보, 최근 3개년 실거래가 리스트 및 동적 계산된 경락잔금대출 한도(LTV), 취득세 등의 금융 분석 정보를 융합 표출하기로 결정하였습니다.
File: context-notes.md | Line 170: - **다차원 체인 정렬의 실제 폐지**: 기존에 기획은 하였으나 실제 구현 단계에서 잔재하고 있었던 다차원 누적 체인 정렬 로직(`activeSortChain`)을 완전히 들어냈습니다. 대신 단일 정렬 키(`currentSortKey`)와 방향(`currentSortDir`) 상태 변수 기반으로 전면 리팩토링하여 정렬 간섭 오작동을 근본적으로 제거하였습니다.
File: context-notes.md | Line 171: - **금액순 정렬의 직관적 기본 방향 개선**: 사용자가 '큰금액순' 정렬을 선호한다는 사실에 기초하여, 금액순(`price`), 저감율순(`discount`), 유찰순(`failed`)의 최초 클릭 시 정렬 방향을 오름차순(asc)에서 내림차순(desc)으로 정상 정립하였습니다.
File: context-notes.md | Line 178: - **모바일 앱 필터 상태 보완**: 모바일 앱 `App.tsx` 내 필터 초기값 상태에 누락되었던 비부동산 `ptype` 항목들을 수동 추가하고, `FeedScreen.tsx`에서 온비드(`onbid`) 출처 체크 시 `onbid_etc` 매물도 함께 검색되도록 source 필터링 연동식을 보완하기로 결정하였습니다.
File: context-notes.md | Line 193: - **모바일 상세 화면(DetailScreen.tsx) 개편 및 E2E 검증 완수**.
File: context-notes.md | Line 194: - `disclaimerText` 등 작았던 보조 텍스트 크기를 12px ~ 13.5px로 전격 인상하였습니다.
File: context-notes.md | Line 199: - **타입 정의 보완**. 모바일 앱 `types/index.ts` 내 `Property` 인터페이스의 `car_info` 에 `vin`, `engine_type`, `vehicle_type`, `base_location` 등 누락된 차량 정보 메타 속성을 명시적으로 정의하여 DetailScreen 내 속성 대입 에러를 해결하였습니다.
File: context-notes.md | Line 200: - **인자 매칭 및 변수 정의 누락 복구**. `DetailScreen.tsx` 의 `enrichPropertyDataMobile` 함수 내부에서 `textToSearch` 변수 선언이 누락되었던 문제를 복구하였습니다. 또한, `extractNonBuildingMetaMobile` 함수에 정의되지 않은 매개변수였던 `item.title`을 제거하고 2개의 인자(textToSearch, ptype)만 정상 전달하도록 수정하였습니다.
File: context-notes.md | Line 201: - **정규식 매치 인덱스 예외 가드**. `DetailScreen.tsx` 에서 정규식 `match` 실행 시 `index`가 `undefined`일 가능성에 대비하여 3항 연산자를 활용한 널 디펜스(null-safety) 코드를 추가하였습니다.
File: context-notes.md | Line 206: - **상세 Drawer 가로폭 가변화**: 데스크톱 대화면 해상도(`xl`, `2xl`)일 때 상세 드로어(`detail-drawer`)의 너비를 가변적으로 확대(`xl:max-w-[1050px] 2xl:max-w-[1280px]`)하여 넓은 화면 공간을 효율적으로 채우도록 하였습니다.
File: context-notes.md | Line 208: - **모바일 웹 및 하이브리드 앱 검증**: 모바일 환경(`DetailScreen.tsx`)은 기본 1열 스택 구조의 반응형 여백 마진을 안전하게 유지하였습니다.
File: context-notes.md | Line 211: ### 검색 필터 예산 한도 최소값/최대값 동시 조정 기능 구현 및 z-index 버그 픽스 (2026-06-14)
File: context-notes.md | Line 212: - PC 웹(`index.html`)의 듀얼 레인지 슬라이더 겹침 영역 z-index 문제를 해결하기 위해, 슬라이더 컨테이너(`budget-slider-container`)에 마우스/터치 무브 이벤트를 리스닝하여 좌표 위치에 가장 가까운 슬라이더 핸들의 `z-index`를 동적으로 높여주는 스크립트를 적용하여 최대값과 최소값을 둘 다 완벽하게 조절할 수 있도록 개선하였습니다.
File: context-notes.md | Line 216: - **오타로 인한 DOM 계층 왜곡 수정**: `index.html` 내 `detail-group-panel-3` 하단에 발생한 오타(미완성 태그 `<`) 및 닫는 태그 누락으로 인해 `detail-group-panel-2`가 자식 노드로 종속되어 2번 탭 클릭 시 내용이 노출되지 않던 화이트아웃 결함을 수정하고 닫는 div 태그를 완벽 복구하였습니다.
File: context-notes.md | Line 218: - **추천 검색어 제안 복구**: 사용자가 빠른 탐색이 가능하도록 피드 목록 상단 영역에 "추천 검색어" 칩 바를 신설하고 클릭 시 검색창 인풋 바인딩 및 즉시 필터링이 가동되도록 처리하였습니다. 모바일 앱 `FeedScreen.tsx`에도 상응하는 가로 스크롤 형태의 추천 검색어 칩 바를 이식하여 사용자 경험의 PC-모바일 대칭성을 만족하도록 조치하였습니다.
File: context-notes.md | Line 219: - **모바일 상세화면 3대 탭 개편 및 내장 로드뷰 제거**: `DetailScreen.tsx` 내의 탭바를 3대 대분류(종합&권리분석, 입찰&금융분석, 입지&시세분석)로 축소 개편하였습니다. 기존 `rights`와 `etc_specs` 탭의 레이아웃 요소를 `general`(종합 & 권리분석) 탭 하단에 통합하여 사용자가 한 눈에 연동된 내용을 볼 수 있도록 개선하고, 내장형 카카오 로드뷰 WebView 컴포넌트를 완전히 삭제하여 3대 포털 아웃링크 버튼 카드로 일원화하였습니다.
File: architecture.md | Line 1: # AI 부동산 경공매 실시간 통합 추천 시스템 아키텍처 명세서
File: architecture.md | Line 3: 이 문서는 AI 부동산 경공매 실시간 통합 추천 시스템의 설계 사상, 구성 요소, 데이터 흐름, 사용 언어 및 기술 스택에 대해 상세하게 기술한 공식 아키텍처 명세서입니다. 본 시스템은 100% 클라우드 환경에서 동작하는 무중단 서버리스 아키텍처를 구현하였습니다.
File: architecture.md | Line 9: 본 시스템은 대법원 법원경매 정보와 캠코 온비드 공매 자산을 실시간으로 수집 및 정제하여 사용자에게 AI 기반의 권리분석 등급과 적합도 점수를 제공하는 핀테크 특화 추천 플랫폼입니다.
File: architecture.md | Line 18: ```mermaid
File: architecture.md | Line 28: Scraper->>Scraper: AI 권리 분석 및 7대 하자 검출 (compute_softscore)
File: architecture.md | Line 88: | **Frontend** | HTML5, CSS3, Tailwind CSS, JavaScript ES6 | PC 대시보드 반응형 레이아웃 및 펄 화이트 스타일 구현 |
File: architecture.md | Line 107: ## 7. AI 권리 분석 및 지능형 계산기 설계
File: architecture.md | Line 135: - **로컬 API 서버 소스**. 로컬에서 uvicorn을 띄우던 FastAPI 관련 소스 파일(`main.py`, `scheduler.py`, `setup_supabase_db.py`, `detect_region.py`, `detect_aws_region.py`, `시작하기.bat`, `대법원 크롤러 사용법 가이드.md` 등)을 영구 제거하였습니다.
